name  from_junction  to_junction        qext_w  \
459         Sink_100273           1300         1301  1.000000e+04   
460         Sink_100271           1536         1537  3.000000e+03   
461         Sink_100269           1094         1095  4.000000e+03   
462         Sink_100267           1298         1299  8.333300e+04   
463         Sink_100264           1298         1299  6.600000e+04   
464         Sink_100262           1198         1199  5.300000e+04   
465         Sink_100261             76           77  8.333300e+04   
466         Sink_100249           1250         1251  4.000000e+03   
467         Sink_100247           1296         1297  5.000000e+03   
468         Sink_100241             60           61  6.000000e+03   
469         Sink_100240             60           61  6.000000e+03   
470         Sink_100231            352          353  8.466700e+04   
471         Sink_100229           1290         1291  7.500000e+04   
472         Sink_100227           1286         1287  4.900000e+04   
473         Sink_100220           1286         1287  5.233300e+04   
474         Sink_100179            664          665  1.400000e+04   
475         Sink_100172            884          885  5.466700e+04   
476         Sink_100168           1096         1097  6.366700e+04   
477         Sink_100156           1284         1285  6.666670e+05   
478         Sink_100124           1152         1153  1.726670e+05   
479         Sink_100111           1282         1283  5.733300e+04   
480         Sink_100107           1282         1283  1.030000e+05   
481         Sink_100105             58           59  9.000000e+03   
482         Sink_100104             58           59  4.000000e+03   
483         Sink_100103           1208         1209  8.000000e+03   
484         Sink_100102           1208         1209  9.000000e+03   
485         Sink_100100           1208         1209  1.733330e+05   
486         Sink_100098           1280         1281  3.766700e+04   
487         Sink_100096           1280         1281  4.366700e+04   
488         Sink_100058           1174         1175  2.220000e+05   
489         Sink_100054           1134         1135  8.500000e+04   
490         Sink_100052           1274         1275  4.333300e+04   
491         Sink_100043           1108         1109  7.994700e+04   
492         Sink_100042           1222         1223  1.596670e+05   
493         Sink_100039            168          169  7.000000e+03   
494         Sink_100019           1270         1271  1.000000e+04   
495  Hommaksenkaari_EMP            944          945  8.666700e+04   

     controlled_mdot_kg_per_s  deltat_k  treturn_k  diameter_m  in_service  \
0                    0.000000       NaN        NaN      0.0431        True   
1                    0.293556       NaN        NaN      0.0431        True   
2                    0.316625       NaN        NaN      0.0545        True   
3                    0.227365       NaN        NaN      0.0703        True   
4                    0.299761       NaN        NaN      0.0545        True   
5                    0.275737       NaN        NaN      0.0545        True   
6                    0.080191       NaN        NaN      0.0431        True   
7                    0.280033       NaN        NaN      0.0431        True   
8                    0.398568       NaN        NaN      0.0431        True   
9                    0.229594       NaN        NaN      0.0545        True   
10                   0.354334       NaN        NaN      0.0545        True   
11                   0.463007       NaN        NaN      0.0545        True   
12                   0.407795       NaN        NaN      0.0545        True   
13                   0.360224       NaN        NaN      0.0545        True   
14                   0.436754       NaN        NaN      0.0545        True   
15                   0.066826       NaN        NaN      0.0545        True   
16                   0.451394       NaN        NaN      0.0545        True   
17                   0.271757       NaN        NaN      0.0703        True   
18                   0.139857       NaN        NaN      0.0431        True   
19                   0.192520       NaN        NaN      0.0431        True   
20                   0.033413       NaN        NaN      0.0285        True   
21                   3.420845       NaN        NaN      0.2630        True   
